,GENE ID
1134,ENSG00000254902
1135,ENSG00000047617
1136,ENSG00000134343
1137,ENSG00000254819
1138,ENSG00000151572
1139,ENSG00000171714
1140,ENSG00000177119
1141,ENSG00000146205
1142,ENSG00000237276
1143,ENSG00000074855
1144,ENSG00000185101
1145,ENSG00000160746
1146,ENSG00000011201
1147,ENSG00000241859
1148,ENSG00000140350
1149,ENSG00000259516
1150,ENSG00000136938
1151,ENSG00000259790
1152,ENSG00000231801
1153,ENSG00000259461
1154,ENSG00000248546
1155,ENSG00000139223
1156,ENSG00000143401
1157,ENSG00000166825
1158,ENSG00000103254
1159,ENSG00000169604
1160,ENSG00000163297
1161,ENSG00000274209
1162,ENSG00000263482
1163,ENSG00000135046
1164,ENSG00000182718
1165,ENSG00000213406
1166,ENSG00000231991
1167,ENSG00000216740
1168,ENSG00000177721
1169,ENSG00000215068
1170,ENSG00000177738
1171,ENSG00000138772
1172,ENSG00000196975
1173,ENSG00000164111
1174,ENSG00000197043
1175,ENSG00000138279
1176,ENSG00000265190
1177,ENSG00000264230
1178,ENSG00000143412
1179,ENSG00000109511
1180,ENSG00000122359
1181,ENSG00000104537
1182,ENSG00000136250
1183,ENSG00000230539
1184,ENSG00000002726
1185,ENSG00000131480
1186,ENSG00000131471
1187,ENSG00000260105
1188,ENSG00000148120
1189,ENSG00000138356
1190,ENSG00000243478
1191,ENSG00000244301
1192,ENSG00000284084
1193,ENSG00000138660
1194,ENSG00000260526
1195,ENSG00000100280
1196,ENSG00000234479
1197,ENSG00000232707
1198,ENSG00000166747
1199,ENSG00000213983
1200,ENSG00000258727
1201,ENSG00000072958
1202,ENSG00000129354
1203,ENSG00000227534
1204,ENSG00000106367
1205,ENSG00000182287
1206,ENSG00000226046
1207,ENSG00000152056
1208,ENSG00000196961
1209,ENSG00000183020
1210,ENSG00000006125
1211,ENSG00000234130
1212,ENSG00000161203
1213,ENSG00000042753
1214,ENSG00000132842
1215,ENSG00000103723
1216,ENSG00000065000
1217,ENSG00000185009
1218,ENSG00000070718
1219,ENSG00000177879
1220,ENSG00000157823
1221,ENSG00000134262
1222,ENSG00000226167
1223,ENSG00000081014
1224,ENSG00000221838
1225,ENSG00000100478
1226,ENSG00000254470
1227,ENSG00000053770
1228,ENSG00000125843
1229,ENSG00000242802
1230,ENSG00000120868
1231,ENSG00000107282
1232,ENSG00000034053
1233,ENSG00000011132
1234,ENSG00000166313
1235,ENSG00000077420
1236,ENSG00000163697
1237,ENSG00000113108
1238,ENSG00000134982
1239,ENSG00000115266
1240,ENSG00000154856
1241,ENSG00000198768
1242,ENSG00000231290
1243,ENSG00000132703
1244,ENSG00000164062
1245,ENSG00000248329
